rank,chart_label,line_code,line_name,area,operator,central_mln,low_mln,high_mln,status,data_year,method,color_hex,color_note,primary_source,secondary_source,color_source,color_role,color_confidence
1,1. FL1,FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,Lazio,Trenitalia,20.7,20.2,21.1,S,2025 stimato,"Stima modellata: baseline Pendolaria 2019 + recupero DR Lazio 2025, con correzione FL1 sotto il 2019 ma sopra media",#006F5F,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
2,2. Metromare,Metromare,Roma-Lido / Metromare,Lazio,Cotral,20.341882,20.341882,20.341882,R,2024,Dato ufficiale consuntivo 2024 passeggeri trasportati,#61B9DF,line color from Wikipedia Module:Adjacent stations/Cotral; not institutional guideline,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Cotral,line,module
3,3. S5,S5,S5 Varese – Milano Passante – Treviglio,Lombardia,Trenord,17.4844,17.4844,17.4844,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#F79336,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
4,4. S8,S8,S8 Lecco – Carnate – Milano Porta Garibaldi,Lombardia,Trenord,14.8063,14.8063,14.8063,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#F8B1B0,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
5,5. FL3,FL3,FL3 Roma – Cesano – Viterbo,Lazio,Trenitalia,14.5,14.3,14.7,S,2025 stimato,"Stima modellata: baseline 2019 scalata su DR Lazio 2025, corretta al ribasso per mix pendolare/smart working",#89AD98,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
6,6. RE6,RE6,RE6 Milano – Brescia – Verona,Lombardia/Veneto,Trenord,13.9342,13.9342,13.9342,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#C73834,RegioExpress color from Wikipedia Module:Adjacent stations/Trenord; applied to RE6,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,service class,module
7,7. Roma-Viterbo,Roma-Viterbo,Roma Nord / Roma – Civita Castellana – Viterbo,Lazio,Cotral,12.727748,12.727748,12.727748,R,2024,Dato ufficiale consuntivo 2024 passeggeri trasportati,#62AB47,line color from Wikipedia Module:Adjacent stations/Cotral; not institutional guideline,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Cotral,line,module
8,8. S6,S6,S6 Novara – Milano Passante – Treviglio/Pioltello,Lombardia,Trenord,12.6148,12.6148,12.6148,L25,2025,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",#F3D018,line color from Wikipedia Module:Adjacent stations/Trenord; not institutional guideline,https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenord,line,module
9,9. FL5,FL5,FL5 Roma – Civitavecchia,Lazio,Trenitalia,11.6,11.4,11.8,S,2025 stimato,"Stima modellata: baseline 2019 scalata su DR Lazio 2025, con piccola correzione costa/porto/turismo",#D6CB00,line color from Wikipedia Module:Adjacent stations/FL lines; not institutional guideline,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/FL_lines,line,module
10,10. Firenze-Pistoia-Lucca,Firenze-Pistoia-Lucca,Firenze – Pistoia – Lucca/Viareggio,Toscana,Trenitalia,11.0,10.5,11.5,S,2025 stimato,Stima modellata da baseline pre-Covid e totale regionale Trenitalia Toscana 2025; non dato linea ufficiale,#6DA044,operator/service fallback: Trenitalia Regionale/Regionale Veloce green in Wikipedia Module:Adjacent stations/Trenitalia; FS states the new Regionale brand is green,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Toscana.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/,https://en.wikipedia.org/wiki/Module:Adjacent_stations/Trenitalia,operator/service fallback,module + official brand color family
