rank,line_code,line_name,central_mln,low_mln,high_mln,status,formula_or_rule,input_values_or_assumptions,reproducibility_level,method_note,primary_source,secondary_source
1,FL1,FL1 Fiumicino Aeroporto – Roma – Fara Sabina/Orte,20.7,20.2,21.1,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline Pendolaria 2019 + recupero DR Lazio 2025, con correzione FL1 sotto il 2019 ma sopra media",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
2,Metromare,Roma-Lido / Metromare,20.341882,20.341882,20.341882,R,"central_mln = valore ufficiale consuntivo riportato dalla fonte, trasformato in milioni se necessario",fonte primaria indicata in primary_source,deterministica se la fonte pubblica resta disponibile; valore finale archiviato in top20_lines.csv,Dato ufficiale consuntivo 2024 passeggeri trasportati,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,
3,S5,S5 Varese – Milano Passante – Treviglio,17.4844,17.4844,17.4844,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
4,S8,S8 Lecco – Carnate – Milano Porta Garibaldi,14.8063,14.8063,14.8063,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
5,FL3,FL3 Roma – Cesano – Viterbo,14.5,14.3,14.7,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline 2019 scalata su DR Lazio 2025, corretta al ribasso per mix pendolare/smart working",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
6,RE6,RE6 Milano – Brescia – Verona,13.9342,13.9342,13.9342,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
7,Roma-Viterbo,Roma Nord / Roma – Civita Castellana – Viterbo,12.727748,12.727748,12.727748,R,"central_mln = valore ufficiale consuntivo riportato dalla fonte, trasformato in milioni se necessario",fonte primaria indicata in primary_source,deterministica se la fonte pubblica resta disponibile; valore finale archiviato in top20_lines.csv,Dato ufficiale consuntivo 2024 passeggeri trasportati,https://www.regione.lazio.it/sites/default/files/documentazione/2025/Cotral_Carta_della_Qualita%CC%80_e_dei_Servizi_2025.pdf,
8,S6,S6 Novara – Milano Passante – Treviglio/Pioltello,12.6148,12.6148,12.6148,L25,"central_mln = Σ(Viaggiatori_migliaia_giorno × days_weight / 1000), calcolato da data/raw/regione_lombardia_frequentazione_linee_sfr_20260424.csv con scripts/reproducibility/top20/calculate_lombardia_annualization.py","campagne 2025: maggio, luglio, novembre; tipi giorno: feriale, sabato, festivo; pesi in data/lombardia_2025_weights.csv",deterministica: rigenerabile dal raw incluso,"Calcolo stagionale da CSV Lombardia: maggio/spalla + luglio/estate + novembre/ordinario, con feriale/sabato/festivo",https://hub.dati.lombardia.it/Mobilit-e-trasporti/Dati-di-frequentazione-delle-linee-del-servizio-fe/dpns-ehdj,file uploaded in conversation: Dati_di_frequentazione_delle_linee_del_servizio_ferroviario_regionale_20260424.csv
9,FL5,FL5 Roma – Civitavecchia,11.6,11.4,11.8,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo","Stima modellata: baseline 2019 scalata su DR Lazio 2025, con piccola correzione costa/porto/turismo",https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Lazio.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
10,Firenze-Pistoia-Lucca,Firenze – Pistoia – Lucca/Viareggio,11.0,10.5,11.5,S,central_mln = stima modellata/manuale post-Covid; valore assunto esplicitamente come parametro della classifica,baseline/contesto da fonti indicate + assunzioni qualitative nel campo method,"trasparente ma non deterministica: il valore è riproducibile perché archiviato, non ricalcolabile automaticamente da raw ufficiale completo nel repo",Stima modellata da baseline pre-Covid e totale regionale Trenitalia Toscana 2025; non dato linea ufficiale,https://www.trenitalia.com/content/dam/trenitalia/regionale/carte-dei-servizi/2025/Carta_Servizi_2025_Toscana.pdf,https://www.rietinvetrina.it/rapporto-pendolaria-2019-la-tratta-fl1-fiumicino-fara-sabina-la-piu-frequentata/
